sin²(?/2) + kc	Zero-Angle Ext	sin²(?/2) + kc	Zero-Concentration Ext	sin²(?/2) + kc	Peak 1	sin²(?/2) + kc	Peak 2	sin²(?/2) + kc	Peak 3	sin²(?/2) + kc	Peak 4	sin²(?/2) + kc	Fit Peak 1	sin²(?/2) + kc	Fit Peak 2	sin²(?/2) + kc	Fit Peak 3	sin²(?/2) + kc	Fit Peak 4	sin²(?/2) + kc	Fit 5	sin²(?/2) + kc	Fit 6	sin²(?/2) + kc	Fit 7	sin²(?/2) + kc	Fit 8	sin²(?/2) + kc	Fit 9	sin²(?/2) + kc	Fit 10	sin²(?/2) + kc	Fit 11	sin²(?/2) + kc	Fit 12	sin²(?/2) + kc	Fit 13	sin²(?/2) + kc	Fit 14	sin²(?/2) + kc	Fit 15
0.00973269601962243	5.18230367896094E-8	0.0883229299760792	9.01916411507486E-8	0.980556259957016	1.50989072169398E-7	1.10299412325514	1.36694428691669E-7	1.31363323723986	1.35298443264884E-7	1.78322929976079	1.40301265809729E-7	0.185649890172304	9.07348686072988E-8	0.308087753470428	9.14182518027751E-8	0.518726867455151	9.25939275858183E-8	0.988322929976079	9.52149636701153E-8	0.155119470251797	1.11590156294604E-7	0.209266099938315	1.2931720601509E-7	0.26789199451291	1.45737358619387E-7	0.339254124962822	1.61833509383607E-7	0.423430892075031	1.75327893076455E-7	0.509732696019623	1.82991260079288E-7	0.596034499964214	1.84406014795851E-7	0.680211267076423	1.7976621933711E-7	0.760190285983275	1.69850408930362E-7	0.834002207804136	1.55937396654011E-7	0.892961995780415	1.41540114561664E-7
0.0107059656215847	5.18339517321034E-8	0.0971552229736871	9.36790075501035E-8									0.194482183169911	9.41719046462828E-8	0.316920046468036	9.47919719653521E-8	0.527559160452759	9.58587206587822E-8	0.997155222973687	9.82369161261751E-8	0.15609273985376	1.11592481030577E-7	0.210239369540278	1.29316897601485E-7	0.268865264114872	1.45734545655471E-7	0.340227394564784	1.61828133824674E-7	0.424404161676993	1.75320180791235E-7	0.510705965621585	1.82981922993457E-7	0.597007769566176	1.84395833435149E-7	0.681184536678386	1.79755966424045E-7	0.761163555585237	1.69840775971846E-7	0.834975477406099	1.55928930651203E-7	0.893935265382377	1.41532990888715E-7
0.0116792352235469	5.18448666745974E-8	0.105987515971295	9.71008450441396E-8									0.203314476167519	9.75442292924778E-8	0.325752339465644	9.81020091705005E-8	0.536391453450367	9.90616000694296E-8	1.0059875159713	1.01200899363105E-7	0.157066009455722	1.1159480576655E-7	0.21121263914224	1.2931658918788E-7	0.269838533716835	1.45731732691554E-7	0.341200664166746	1.61822758265741E-7	0.425377431278956	1.75312468506016E-7	0.511679235223547	1.82972585907627E-7	0.597981039168139	1.84385652074448E-7	0.682157806280348	1.79745713510981E-7	0.762136825187199	1.6983114301333E-7	0.835948747008061	1.55920464648395E-7	0.894908534984339	1.41525867215766E-7
0.0126525048255092	5.18557816170914E-8	0.114819808968903	1.00457153632857E-7									0.212146769165127	1.00851842545884E-7	0.334584632463252	1.0134836341822E-7	0.545223746447975	1.0220256581776E-7	1.0148198089689	1.04106913380906E-7	0.158039279057684	1.11597130502523E-7	0.212185908744202	1.29316280774275E-7	0.270811803318797	1.45728919727638E-7	0.342173933768708	1.61817382706808E-7	0.426350700880918	1.75304756220797E-7	0.512652504825509	1.82963248821796E-7	0.598954308770101	1.84375470713746E-7	0.68313107588231	1.79735460597916E-7	0.763110094789162	1.69821510054814E-7	0.836922016610023	1.55911998645586E-7	0.895881804586301	1.41518743542817E-7
0.0136257744274714	5.18666965595854E-8	0.123652101966511	1.03747933316256E-7									0.220979062162735	1.04094744406501E-7	0.34341692546086	1.04531034708511E-7	0.554056039445583	1.05281617903775E-7	1.02365210196651	1.06954958179578E-7	0.159012548659646	1.11599455238496E-7	0.213159178346164	1.2931597236067E-7	0.271785072920759	1.45726106763722E-7	0.343147203370671	1.61812007147875E-7	0.42732397048288	1.75297043935577E-7	0.513625774427471	1.82953911735965E-7	0.599927578372063	1.84365289353045E-7	0.684104345484272	1.79725207684852E-7	0.764083364391124	1.69811877096298E-7	0.837895286211985	1.55903532642778E-7	0.896855074188264	1.41511619869868E-7
0.0145990440294336	5.18776115020794E-8	0.132484394964119	1.06973184094336E-7									0.229811355160343	1.07272934874329E-7	0.352249218458468	1.07650023041374E-7	0.562888332443191	1.08298756327472E-7	1.03248439496412	1.09745033759119E-7	0.159985818261609	1.11601779974469E-7	0.214132447948127	1.29315663947065E-7	0.272758342522721	1.45723293799806E-7	0.344120472972633	1.61806631588942E-7	0.428297240084842	1.75289331650358E-7	0.514599044029434	1.82944574650135E-7	0.600900847974025	1.84355107992344E-7	0.685077615086234	1.79714954771787E-7	0.765056633993086	1.69802244137782E-7	0.838868555813948	1.5589506663997E-7	0.897828343790226	1.41504496196919E-7
0.0155723136313959	5.18885264445734E-8	0.141316687961727	1.10132905967097E-7									0.238643648157951	1.10386413949369E-7	0.361081511456076	1.10705328416807E-7	0.571720625440799	1.11253981088853E-7	1.04131668796173	1.12477140119532E-7	0.160959087863571	1.11604104710442E-7	0.215105717550089	1.2931535553346E-7	0.273731612124683	1.45720480835889E-7	0.345093742574595	1.61801256030009E-7	0.429270509686805	1.75281619365138E-7	0.515572313631396	1.82935237564304E-7	0.601874117575988	1.84344926631642E-7	0.686050884688197	1.79704701858723E-7	0.766029903595048	1.69792611179266E-7	0.83984182541591	1.55886600637162E-7	0.898801613392188	1.4149737252397E-7
0.0165455832333581	5.18994413870674E-8	0.145386774232175	1.11566908934873E-7									0.242713734428399	1.11799382532182E-7	0.365151597726524	1.1209183562504E-7	0.575790711711247	1.12594964793602E-7	1.04538677423218	1.13716634326038E-7	0.161932357465533	1.11606429446415E-7	0.216078987152051	1.29315047119855E-7	0.274704881726646	1.45717667871973E-7	0.346067012176557	1.61795880471076E-7	0.430243779288767	1.75273907079919E-7	0.516545583233358	1.82925900478474E-7	0.60284738717795	1.84334745270941E-7	0.687024154290159	1.79694448945659E-7	0.767003173197011	1.69782978220749E-7	0.840815095017872	1.55878134634354E-7	0.89977488299415	1.41490248851021E-7
0.0175188528353204	5.19103563295614E-8	0.150148980959335	1.13227098934539E-7									0.247475941155559	1.13435181631619E-7	0.369913804453684	1.13696950834812E-7	0.580552918438407	1.14147292187918E-7	1.05014898095933	1.15151277260815E-7	0.162905627067495	1.11608754182389E-7	0.217052256754013	1.29314738706249E-7	0.275678151328608	1.45714854908057E-7	0.347040281778519	1.61790504912143E-7	0.431217048890729	1.752661947947E-7	0.517518852835321	1.82916563392643E-7	0.603820656779912	1.84324563910239E-7	0.687997423892121	1.79684196032594E-7	0.767976442798973	1.69773345262233E-7	0.841788364619834	1.55869668631545E-7	0.900748152596113	1.41483125178072E-7
0.0184921224372826	5.19212712720554E-8	0.158981273956943	1.16255762996663E-7									0.256308234153167	1.16419237921081E-7	0.378746097451292	1.16624890295389E-7	0.589385211436015	1.16978689624666E-7	1.05898127395694	1.17767445182968E-7	0.163878896669458	1.11611078918362E-7	0.218025526355976	1.29314430292644E-7	0.27665142093057	1.45712041944141E-7	0.348013551380482	1.6178512935321E-7	0.432190318492691	1.7525848250948E-7	0.518492122437283	1.82907226306813E-7	0.604793926381874	1.84314382549538E-7	0.688970693494083	1.7967394311953E-7	0.768949712400935	1.69763712303717E-7	0.842761634221796	1.55861202628737E-7	0.901721422198075	1.41476001505123E-7
